file	start	end	angles
src-app/server/Cargo.toml	17	21	build,equivalence,correctness
src-app/server/src/common/type.rs	1	20	equivalence,imports-lints,api-surface,security
src-app/server/src/common/type.rs	100	120	equivalence,test-coverage,correctness
src-app/server/src/common/macros.rs	1	11	macro-hygiene,equivalence,correctness
src-app/server/src/core/app_state.rs	10	40	equivalence,correctness,security,api-surface
src-app/server/src/core/app_state.rs	60	120	equivalence,test-coverage,correctness
src-app/server/src/lib.rs	9	13	macro-hygiene,equivalence,build
src-app/server/src/main.rs	9	13	macro-hygiene,equivalence,build
sdk/crates/ziee-core/Cargo.toml	1	19	build,equivalence,naming
sdk/crates/ziee-core/src/lib.rs	1	17	equivalence,api-surface,naming
sdk/crates/ziee-core/src/error.rs	1	340	equivalence,security,correctness,test-coverage
sdk/crates/ziee-core/src/macros.rs	1	124	macro-hygiene,equivalence,correctness
sdk/crates/ziee-core/src/app_state.rs	1	104	equivalence,correctness,security,test-coverage,naming
sdk/crates/ziee-core/src/config.rs	1	15	api-surface,equivalence,naming
