file	start	end	angles
src-app/server/Cargo.toml	22	28	build,equivalence,correctness
src-app/server/src/modules/auth/jwt.rs	365	384	equivalence,security,api-surface
src-app/server/src/modules/permissions/checker.rs	2	6	equivalence,imports-lints,security
src-app/server/src/modules/permissions/checker.rs	29	55	equivalence,security,correctness
src-app/server/src/modules/permissions/types.rs	1	10	equivalence,api-surface,imports-lints
src-app/server/src/modules/user/models.rs	56	72	equivalence,security,correctness,trait-design
sdk/crates/ziee-identity/Cargo.toml	8	17	build,equivalence,naming
sdk/crates/ziee-identity/src/lib.rs	1	28	equivalence,api-surface,naming
sdk/crates/ziee-identity/src/permission.rs	1	528	equivalence,api-surface,security,test-coverage
sdk/crates/ziee-identity/src/rbac.rs	1	95	equivalence,security,correctness,test-coverage
sdk/crates/ziee-identity/src/principal.rs	1	130	security,trait-design,correctness,test-coverage
sdk/crates/ziee-identity/src/token.rs	1	35	security,api-surface,trait-design
