file	start	end	angles
sdk/crates/ziee-framework/src/embedded_pg.rs	1	60	equivalence,api-surface,boundary,build-db
sdk/crates/ziee-framework/src/embedded_pg.rs	40	135	equivalence,types,api-surface,boundary
sdk/crates/ziee-framework/src/embedded_pg.rs	119	200	equivalence,error-handling,concurrency
sdk/crates/ziee-framework/src/embedded_pg.rs	200	300	equivalence,security,error-handling
sdk/crates/ziee-framework/src/embedded_pg.rs	300	345	equivalence,build-db,types
sdk/crates/ziee-framework/src/embedded_pg.rs	410	510	equivalence,concurrency,error-handling,security
sdk/crates/ziee-framework/src/embedded_pg.rs	510	555	equivalence,tests,api-surface
sdk/crates/ziee-framework/src/lib.rs	14	16	boundary,api-surface,equivalence
sdk/crates/ziee-framework/Cargo.toml	16	66	build,feature-unification,build-db,equivalence
sdk/.cargo/config.toml	1	13	build,boundary,equivalence
sdk/Cargo.lock	1	921	build,equivalence,boundary
src-app/server/src/core/database/mod.rs	1	140	equivalence,api-surface,build-db,security
src-app/server/src/lib.rs	31	60	api-surface,boundary,equivalence,wire
src-app/desktop/tauri/Cargo.toml	27	34	build,boundary,equivalence
src-app/desktop/tauri/src/modules/backend/mod.rs	22	40	api-surface,equivalence,concurrency
src-app/desktop/tauri/src/modules/backend/mod.rs	250	327	equivalence,error-handling,security,ordering
src-app/desktop/tauri/src/modules/backend/mod.rs	408	434	equivalence,api-surface,build-db
src-app/desktop/tauri/src/modules/backend/server_boot.rs	1	145	equivalence,security,concurrency,api-surface
src-app/desktop/tauri/src/modules/auth/commands.rs	20	60	equivalence,security,error-handling,api-surface
src-app/desktop/tauri/src/modules/auth/bootstrap.rs	1	40	equivalence,security,error-handling
src-app/desktop/tauri/tests/auth_tests.rs	154	277	tests,equivalence,api-surface
src-app/Cargo.lock	1	17	build,equivalence,boundary
