file	start	end	angles
src-app/server/src/modules/auth/context.rs	1	120	boundary,equivalence,types,api-surface
src-app/server/src/core/events.rs	197	260	equivalence,security,boundary,error-handling
src-app/server/src/core/config.rs	21	40	equivalence,types,wire
src-app/server/src/core/outbound.rs	1	23	security,equivalence,boundary
src-app/server/src/modules/auth/jwt.rs	8	23	types,equivalence,api-surface
src-app/server/src/modules/auth/jwt.rs	105	144	types,equivalence,error-handling
src-app/server/src/modules/auth/refresh_tokens.rs	19	70	equivalence,concurrency,api-surface
src-app/server/src/modules/auth/session_settings.rs	149	203	wire,equivalence,security
src-app/server/src/modules/auth/handlers.rs	94	190	equivalence,security,boundary
src-app/server/src/modules/auth/handlers.rs	203	440	equivalence,security,api-surface
src-app/server/src/modules/auth/handlers.rs	445	638	concurrency,equivalence,security
src-app/server/src/modules/auth/handlers.rs	1218	1473	equivalence,security,error-handling
src-app/server/src/modules/auth/handlers.rs	1506	1538	equivalence,api-surface,types
src-app/server/src/modules/auth/handlers.rs	1909	2050	security,equivalence,wire
src-app/server/src/modules/auth/handlers.rs	2144	2243	equivalence,security,error-handling
src-app/server/src/modules/auth/providers/repository.rs	78	285	security,equivalence,api-surface
src-app/server/src/modules/auth/providers/health.rs	13	212	equivalence,security,error-handling
src-app/server/src/modules/auth/providers/local.rs	1	115	equivalence,security,boundary
src-app/server/src/modules/auth/providers/apple.rs	31	600	security,equivalence,boundary
src-app/server/src/modules/auth/providers/oauth2.rs	23	935	security,equivalence,concurrency
src-app/server/src/modules/auth/events.rs	25	31	equivalence,api-surface,lint
src-app/server/src/modules/user/events.rs	28	33	equivalence,api-surface,lint
src-app/server/src/modules/user/handlers/user.rs	1	618	equivalence,security,boundary
src-app/server/src/modules/user/handlers/groups.rs	1	502	equivalence,security,boundary
src-app/server/src/lib.rs	40	570	boundary,equivalence,wire
src-app/server/src/main.rs	376	390	boundary,equivalence,wire
src-app/server/tests/auth/mod.rs	1450	1458	equivalence,api-surface,types
src-app/server/tests/auth/profile_self_service_test.rs	816	853	equivalence,api-surface,types
