file	start	end	angles
sdk/desktop/harness/src/window.rs	1	20	boundary,app-agnostic,equivalence
sdk/desktop/harness/src/window.rs	21	45	api-surface,equivalence,boundary
sdk/desktop/harness/src/window.rs	46	80	equivalence,ordering,concurrency,security
sdk/desktop/harness/src/window.rs	81	100	equivalence,error-handling,cleanup-safety
sdk/desktop/harness/src/window.rs	101	160	equivalence,platform-gating,api-surface
sdk/desktop/harness/src/window.rs	160	179	equivalence,platform-gating,error-handling
sdk/desktop/harness/src/lib.rs	14	43	api-surface,boundary,app-agnostic
sdk/desktop/harness/Cargo.toml	12	22	build,feature-unification,equivalence
sdk/desktop/harness/Cargo.toml	23	37	build,feature-unification,platform-gating,equivalence
sdk/Cargo.lock	1	3230	build,feature-unification,equivalence
src-app/desktop/tauri/src/modules/backend/mod.rs	22	26	api-surface,boundary,equivalence
src-app/desktop/tauri/src/modules/backend/mod.rs	267	290	equivalence,api-surface,concurrency
src-app/desktop/tauri/src/modules/backend/mod.rs	290	350	equivalence,ordering,error-handling,security
src-app/desktop/tauri/src/modules/backend/mod.rs	751	757	equivalence,boundary,tests
src-app/Cargo.lock	1	3	build,feature-unification,equivalence
