file	start	end	angles
.gitmodules	1	11	submodule-pin,url-correctness,untouched-siblings
agent-kit	1	1	submodule-pin,gitlink-mode,e2e805b-pin
.claude/app.config	1	26	seam-purity,path-correctness,reference-fidelity
.claude/lifecycle	1	1	equivalence,symlink-resolution,drift-proofing
.claude/skills/design-taste-frontend	1	1	symlink-resolution,source-deletion,no-dangling
.claude/skills/design-variant-tournament	1	1	symlink-resolution,source-deletion,no-dangling
.claude/skills/feature-lifecycle	1	1	symlink-resolution,source-deletion,equivalence
.claude/skills/feature-orchestration	1	1	symlink-resolution,source-deletion,no-dangling
.claude/skills/frontend-ui-engineering	1	1	symlink-resolution,source-deletion,no-dangling
.claude/skills/shadcn-component-discovery	1	1	symlink-resolution,source-deletion,references-included
.claude/skills/shadcn-component-review	1	1	symlink-resolution,source-deletion,references-included
scripts/dev-init.sh	1	80	idempotency,drift-proofing,windows-symlink-guard,nullglob-guard
scripts/install-agent-hooks.sh	1	1	symlink-resolution,security,source-deletion
.gitignore	53	72	gitignore-tracking,no-trailing-slash,app-config-whitelist
CLAUDE.md	1	2075	no-dangling-doc,import-resolution,base-reconciliation,design-system-root-kept
justfile	593	602	reference-fidelity,recipe-correctness,no-code-impact
