file	start	end	angles
src-app/Cargo.lock	1	9999	build-graph,equivalence,correctness
src-app/desktop/tauri/Cargo.toml	15	20	build-graph,equivalence,cross-platform
src-app/desktop/tauri/build.rs	1	40	move-completeness,equivalence,build-graph
src-app/server/Cargo.toml	275	312	build-graph,equivalence,test-integrity
src-app/server/build.rs	20	215	equivalence,move-completeness,correctness
src-app/server/build_helper/worktree_db.rs	1	163	move-completeness,equivalence,test-integrity
src-app/server/tests/common/harness_inner.rs	14	31	regression,move-completeness,equivalence
sdk/Cargo.lock	1	9999	build-graph,equivalence,correctness
sdk/crates/ziee-auth/src/auth/context.rs	170	260	security,ergonomics,api-surface
sdk/crates/ziee-auth/src/auth/mod.rs	24	46	api-surface,ergonomics,build-graph
sdk/crates/ziee-auth/src/auth/turnkey.rs	1	263	security,correctness,ergonomics,test-integrity
sdk/crates/ziee-build-support/Cargo.toml	1	19	build-graph,equivalence,boundary-leak
sdk/crates/ziee-build-support/src/build_db.rs	1	147	equivalence,correctness,security
sdk/crates/ziee-build-support/src/lib.rs	1	19	api-surface,build-graph,boundary-leak
sdk/crates/ziee-build-support/src/migrations.rs	1	86	equivalence,correctness,cross-platform
sdk/crates/ziee-build-support/src/worktree_db.rs	1	164	move-completeness,cross-platform,test-integrity
sdk/crates/ziee-core/Cargo.toml	1	40	build-graph,equivalence,test-integrity
sdk/crates/ziee-core/src/config.rs	17	40	security,correctness,api-surface
sdk/crates/ziee-core/src/config.rs	66	140	security,correctness,api-surface,test-integrity
sdk/crates/ziee-core/src/config.rs	280	360	security,correctness,test-integrity
sdk/crates/ziee-framework/Cargo.toml	1	60	build-graph,equivalence,cross-platform
sdk/crates/ziee-framework/src/app_builder.rs	172	280	security,cross-platform,ergonomics,correctness
sdk/crates/ziee-framework/src/embedded_pg.rs	40	80	equivalence,boundary-leak,correctness
sdk/crates/ziee-framework/src/embedded_pg.rs	225	260	equivalence,boundary-leak,correctness
sdk/crates/ziee-framework/src/embedded_pg.rs	560	620	test-integrity,equivalence,correctness
sdk/crates/ziee-framework/src/lib.rs	14	72	api-surface,build-graph,boundary-leak
