file	start	end	angles
sdk/packages/config/biome.base.json	1	191	domain-coupling,config-merge,backward-compat
sdk/packages/config/tsconfig.base.json	1	25	domain-coupling,config-merge,backward-compat
sdk/packages/config/syncpack.base.mjs	1	55	api-surface,config-merge,backward-compat
sdk/packages/config/package.json	1	38	api-surface,build,naming
sdk/packages/config/src/check.mjs	1	79	api-surface,correctness,scope-discipline
sdk/packages/config/src/lint/roots.mjs	1	38	parameterization,correctness
sdk/packages/config/src/lint/hardcoded-colors.mjs	21	28	parameterization,backward-compat,byte-equivalence
sdk/packages/config/src/lint/settings-field.mjs	31	39	parameterization,backward-compat
sdk/packages/config/src/lint/adjacent-inline.mjs	19	26	parameterization,backward-compat
sdk/packages/config/src/lint/logical-direction.mjs	32	95	parameterization,backward-compat,correctness
sdk/packages/config/src/lint/tooltip-placement.mjs	28	37	parameterization,backward-compat
sdk/packages/config/src/lint/design-spec.mjs	14	160	parameterization,byte-equivalence,domain-coupling
sdk/packages/config/src/lint/kit-manifest.mjs	9	35	parameterization,correctness,byte-equivalence
sdk/packages/config/scripts/config.test.mjs	1	55	test-coverage,parameterization,domain-coupling
sdk/packages/config/README.md	1	47	naming,api-surface
src-app/ui/package.json	0	0	backward-compat,scope-discipline
src-app/ui/biome.json	1	43	config-merge,backward-compat
src-app/ui/tsconfig.json	1	24	config-merge,backward-compat
.syncpackrc.mjs	1	14	config-merge,backward-compat
