file	start	end	angles
sdk/packages/framework/src/api-client/core.ts	21	133	security,backward-compat,api-surface
sdk/packages/framework/src/api-client/index.ts	5	16	api-surface,backward-compat,naming
sdk/packages/framework/package.json	7	26	tree-shakeability,dependency-hygiene,build
sdk/packages/framework/src/router/types.ts	1	101	type-safety,domain-coupling,api-surface
sdk/packages/framework/src/router/config.ts	1	47	api-surface,domain-coupling,type-safety
sdk/packages/framework/src/router/routes-store.ts	1	32	type-safety,correctness,api-surface
sdk/packages/framework/src/router/LazyRouteRenderer.tsx	1	68	correctness,domain-coupling,type-safety
sdk/packages/framework/src/router/RouterComponent.tsx	1	150	security,correctness,domain-coupling
sdk/packages/framework/src/router/module.tsx	1	64	api-surface,correctness,tree-shakeability
sdk/packages/framework/src/router/index.ts	1	34	api-surface,tree-shakeability,naming
sdk/packages/kit/src/styles/kit.css	1	34	correctness,api-surface,naming
sdk/packages/kit/package.json	5	9	api-surface,build,backward-compat
sdk/packages/kit/README.md	1	60	naming,api-surface,correctness
sdk/packages/framework/src/api-client/auth-token.test.ts	1	80	test-coverage,security,backward-compat
sdk/packages/framework/src/router/config.test.ts	1	45	test-coverage,api-surface,correctness
sdk/packages/kit/scripts/fe3-tailwind-proof.mjs	1	66	test-coverage,correctness,build
