hunk	file	summary	angles
H1	sdk crates/ziee-framework/src/sync/routes.rs (new)	subscribe_sync handler + docs moved → sync_routes::<R,S>() + SyncSurface + RecheckOutcome + AccessTokenExp	equivalence(sdk-surfaces-01),equivalence(sdk-surfaces-02),security(sdk-surfaces-03),boundary(sdk-surfaces-04)
H2	sdk crates/ziee-framework/src/permissions/resolver.rs (edit)	IdentityResolver::access_token_exp default-None	equivalence(sdk-surfaces-02),boundary(sdk-surfaces-04),security(sdk-surfaces-03)
H3	sdk crates/ziee-framework/src/{sync/mod.rs,lib.rs} (edit)	pub mod routes + re-export sync_routes/SyncSurface/RecheckOutcome	cross-crate-resolution(sdk-surfaces-09),boundary(sdk-surfaces-04)
H4	sdk crates/ziee-framework/Cargo.toml (edit)	add async-stream/futures-util/chrono	cross-crate-resolution(sdk-surfaces-09)
H5	src-app server/src/modules/sync/handlers.rs (edit)	191-line handler → thin sync_routes::<ZieeIdentityResolver,SyncEntity>() mount	equivalence(sdk-surfaces-01),shim-transparency(sdk-surfaces-12),desktop-parity(sdk-surfaces-10)
H6	src-app server/src/modules/sync/event.rs (edit)	impl SyncSurface for SyncEntity (Principal/Wire/BaselinePerms/registry/principal_user_id/connected_signal/recheck)	equivalence(sdk-surfaces-02),canonical-equality(sdk-surfaces-05),security(sdk-surfaces-03)
H7	src-app server/src/modules/sync/registry.rs (edit)	From<(User,Vec<Group>)> for SyncConnPrincipal; drop unused ClientConn/SYNC_CHANNEL_CAPACITY re-exports	equivalence(sdk-surfaces-01),shim-transparency(sdk-surfaces-12)
H8	src-app server/src/modules/permissions/extractors.rs (edit)	ZieeIdentityResolver::access_token_exp override (byte-identical exp extraction)	equivalence(sdk-surfaces-02),security(sdk-surfaces-03)
H9	sdk crates/ziee-onboarding/src/{models,repository,lib}.rs (new)	OnboardingProgress byte-for-byte; OnboardingRepository (AppError import edit); lib re-exports	equivalence(sdk-surfaces-06),boundary(sdk-surfaces-04),test-fidelity(sdk-surfaces-11)
H10	sdk crates/ziee-onboarding/migrations/202607140195_onboarding_schema.sql (new)	user_onboarding table moved byte-for-byte, NO FK	migration-integrity(sdk-surfaces-07),standalone-apply(sdk-surfaces-08)
H11	sdk crates/ziee-onboarding/{build.rs,Cargo.toml} (new)	own build DB (provision_build_db) for the query! verification; deps	standalone-apply(sdk-surfaces-08),cross-crate-resolution(sdk-surfaces-09)
H12	src-app server/src/modules/onboarding/mod.rs (edit)	handlers/routes/registration retained; pub use ziee_onboarding::{OnboardingRepository,models}	shim-transparency(sdk-surfaces-12),equivalence(sdk-surfaces-06),test-fidelity(sdk-surfaces-11)
H13	src-app server/src/modules/onboarding/{models,repository}.rs (deleted)	moved to the crate	equivalence(sdk-surfaces-06)
H14	src-app server/src/modules/onboarding/migrations/202607140195_onboarding_schema.sql (deleted); server/build.rs (edit)	table migration moved to crate; ziee-onboarding/migrations added to sdk_crate_migration_dirs; FK migration retained	migration-integrity(sdk-surfaces-07),standalone-apply(sdk-surfaces-08)
H15	src-app server/Cargo.toml (edit)	add ziee-onboarding path dep	cross-crate-resolution(sdk-surfaces-09),desktop-parity(sdk-surfaces-10)
