file	start	end	angles
sdk/packages/test-e2e/package.json	1	33	src-export-convention,peerdeps-hygiene,dep-version-pinning
sdk/packages/test-e2e/tsconfig.json	1	17	clean-build,ts-ext-imports,bundler-resolution
sdk/packages/test-e2e/src/config.ts	1	101	config-seam,app-agnostic,desktop-variant
sdk/packages/test-e2e/src/global-setup.ts	1	118	security,cross-session-safety,docker-lifecycle
sdk/packages/test-e2e/src/global-setup.ts	119	210	lazy-dep,ui-build-parameterization,server-warmup
sdk/packages/test-e2e/src/global-teardown.ts	1	50	docker-lifecycle,no-db-noop,port-lock-release
sdk/packages/test-e2e/src/port-manager.ts	1	139	security,cross-session-safety,port-probe
sdk/packages/test-e2e/src/playwright-preset.ts	1	123	preset-parity,desktop-variant,module-path-seam
sdk/packages/test-e2e/src/testid.ts	1	59	typed-union-binding,i18n-safe,selector-ladder
sdk/packages/test-e2e/src/index.ts	1	33	barrel-completeness,export-hygiene,seam-surface
sdk/packages/gallery/scripts/gen-state-matrix.mjs	48	62	config-anchor,equivalence,glob-derivation
sdk/packages/gallery/scripts/gen-state-matrix.mjs	247	480	ast-preserve,equivalence,coverage-path
sdk/packages/gallery/scripts/gen-overlay-registry.mjs	38	100	config-anchor,overlay-import-generalization,equivalence
sdk/packages/gallery/scripts/gen-overlay-registry.mjs	145	200	roots-derivation,wired-scan,equivalence
sdk/packages/gallery/scripts/gen-gallery-coverage.mjs	23	67	config-anchor,roots-derivation,equivalence
sdk/packages/gallery/scripts/gen-gallery-seed-registry.mjs	21	38	cross-workspace,src-override-preserve,equivalence
sdk/packages/gallery/scripts/gallery-coverage.mjs	32	55	config-anchor,report-only,lib-reuse
sdk/packages/gallery/scripts/check-gallery-prod-exclusion.mjs	14	32	config-anchor,prod-marker,build-cmd
sdk/packages/gallery/scripts/capture-gallery-screenshots.mjs	1	79	verbatim-move,cli-driven,lib-reuse
sdk/packages/gallery/scripts/capture-gallery-states.mjs	1	96	verbatim-move,cli-driven,lib-reuse
sdk/packages/gallery/scripts/lib/gallery-config.mjs	13	40	default-parity,new-fields,backward-compat
sdk/packages/gallery/scripts/cli.mjs	11	22	dispatch-completeness,command-map,no-testid
sdk/packages/gallery/playwright/visual.config.ts	1	104	config-driven,visual-parity,clean-build
sdk/packages/gallery/playwright/templates/_gallery.template.ts	1	80	surface-list-driven,copy-target,app-agnostic
sdk/packages/gallery/playwright/templates/layout.spec.template.ts	1	55	layer-a,axe,copy-target
sdk/packages/gallery/playwright/templates/states.spec.template.ts	1	45	crash-detection,states-sweep,copy-target
sdk/packages/gallery/playwright/templates/overlays.spec.template.ts	1	42	overlay-open,crash-detection,copy-target
sdk/packages/gallery/playwright/templates/gallery.spec.template.ts	1	40	layer-b,opt-in-snapshots,copy-target
src-app/ui/package.json	148	188	repoint-parity,path-correctness,json-valid
src-app/desktop/ui/package.json	106	107	repoint-parity,src-override-preserve,json-valid
src-app/ui/vite.config.ts	6	34	vite-repoint,byte-identical-plugin,boot-smoke
src-app/ui/plugins/vite-plugin-gallery-alias.js	0	0	deletion,dup-removal,package-equivalent
src-app/ui/plugins/vite-plugin-gallery-coverage.js	0	0	deletion,dup-removal,package-equivalent
src-app/ui/scripts/[10 moved .mjs]	0	0	deletion,moved-to-package,repointed
