file	start	end	angles
sdk/crates/ziee-file/src/models.rs	1	140	equivalence,openapi-parity,domain-agnosticism
sdk/crates/ziee-file/src/types.rs	1	120	equivalence,openapi-parity,security
sdk/crates/ziee-file/src/repository.rs	1	760	equivalence,build-db,cascade-semantics
sdk/crates/ziee-file/src/permissions.rs	1	52	security,consumer-shim,equivalence
sdk/crates/ziee-file/src/storage/mod.rs	1	116	equivalence,seam-correctness,domain-agnosticism
sdk/crates/ziee-file/src/storage/filesystem.rs	1	412	equivalence,security,domain-agnosticism
sdk/crates/ziee-file/src/storage/manager.rs	1	50	equivalence,consumer-shim,clean-build
sdk/crates/ziee-file/src/utils/mod.rs	1	28	equivalence,consumer-shim,security
sdk/crates/ziee-file/src/utils/magic.rs	1	169	security,equivalence,domain-agnosticism
sdk/crates/ziee-file/src/utils/zipbomb.rs	1	244	security,equivalence,domain-agnosticism
sdk/crates/ziee-file/src/seams.rs	1	60	seam-correctness,domain-agnosticism,equivalence
sdk/crates/ziee-file/src/ingest.rs	1	200	seam-correctness,equivalence,security
sdk/crates/ziee-file/src/lib.rs	1	70	migration-integrity,consumer-shim,build-db
sdk/crates/ziee-file/build.rs	1	140	build-db,migration-integrity,clean-build
sdk/crates/ziee-file/migrations/202607140125_file_schema.sql	1	60	migration-integrity,schema-equivalence,domain-agnosticism
sdk/crates/ziee-file/Cargo.toml	1	45	build-db,clean-build,consumer-shim
src-app/server/src/modules/file/mod.rs	1	120	consumer-shim,equivalence,clean-build
src-app/server/src/modules/file/ingest.rs	1	80	seam-correctness,cascade-semantics,equivalence
src-app/server/src/modules/file/utils/mod.rs	1	20	consumer-shim,equivalence,security
src-app/server/src/modules/file/processing/mod.rs	1	40	consumer-shim,equivalence,clean-build
src-app/server/src/modules/file/migrations/202607144125_file_fkeys.sql	1	20	migration-integrity,schema-equivalence,cascade-semantics
src-app/server/src/modules/workflow/file_runs.rs	1	60	cascade-semantics,security,equivalence
src-app/server/src/modules/workflow/migrations/202607144231_workflow_file_runs.sql	1	30	migration-integrity,schema-equivalence,cascade-semantics
src-app/server/src/modules/workflow/mod.rs	1	5	consumer-shim,clean-build,equivalence
src-app/server/src/core/repository.rs	1	5	consumer-shim,clean-build,cascade-semantics
src-app/server/src/modules/mcp/resource_link.rs	660	665	cascade-semantics,equivalence,security
src-app/server/src/modules/workflow/handlers/mod.rs	110	500	cascade-semantics,equivalence,security
src-app/server/src/modules/scheduler/continue_chat.rs	148	152	cascade-semantics,equivalence,consumer-shim
src-app/server/Cargo.toml	1	6	build-db,clean-build,consumer-shim
