file	start	end	angles
.lifecycle/agent-orchestration/BASE.md	1	27	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/DECISIONS.md	1	426	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/DRIFT-1.md	1	27	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/PHASE5_PROGRESS.md	1	106	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/PLAN.md	1	427	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/PLAN_AUDIT.md	1	93	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/RESEARCH_SOTA.md	1	196	correctness,dead-code,api-contract
.lifecycle/agent-orchestration/TESTS.md	1	151	correctness,dead-code,api-contract
scripts/manual-test-agent-core.sh	1	133	correctness,test-coverage,dead-code
src-app/Cargo.lock	1	13223	dependency-advisory,build,dead-code
src-app/Cargo.toml	1	191	dependency-advisory,build,wiring
src-app/agent-core/Cargo.toml	1	26	dependency-advisory,build,wiring
src-app/agent-core/src/budget.rs	1	89	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/compaction.rs	1	989	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/core.rs	1	1151	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/core_tools.rs	1	979	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/extension.rs	1	218	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/fanout.rs	1	702	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/guard.rs	1	177	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/lib.rs	1	70	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/policy.rs	1	99	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/ports.rs	1	157	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/reviewer.rs	1	848	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
src-app/agent-core/src/summarizer.rs	1	243	correctness,concurrency,security,resource,error-handling,dead-code,test-coverage
