file	start	end	angles
src-app/server/src/modules/chat/core/services/streaming.rs	187	194	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	497	497	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	566	570	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	688	709	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	1172	1188	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	1211	1215	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	1462	1465	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	1505	1516	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/src/modules/chat/core/services/streaming.rs	1883	1899	correctness,error-handling,concurrency,api-contract,security,patterns-conformance,regressions,tests-quality,perf,edge-cases
src-app/server/tests/chat/stub_chat_tier2_test.rs	309	375	tests-quality,edge-cases,perf
src-app/ui/src/modules/chat/components/ChatMessage.tsx	2	2	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	4	7	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	10	10	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	22	22	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	27	29	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	61	76	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	86	86	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/ChatMessage.tsx	228	241	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/components/MessageList.tsx	96	97	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/components/MessageList.tsx	524	528	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/components/MessageList.tsx	545	547	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/components/emptyCompletion.test.ts	1	100	tests-quality,edge-cases,perf
src-app/ui/src/modules/chat/components/emptyCompletion.ts	1	49	correctness,state-management,regressions,a11y,patterns-conformance,i18n,perf,edge-cases
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	303	307	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	495	495	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	566	568	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	728	728	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1521	1526	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1539	1544	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1611	1611	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1622	1622	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1686	1686	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	1784	1786	state-management,regressions,api-contract,perf,edge-cases,security
src-app/ui/tests/e2e/chat/empty-completion.spec.ts	1	100	tests-quality,edge-cases,security
src-app/ui/src/components/ui/testIds.generated.ts	2	2	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/testIds.generated.ts	116	116	patterns-conformance,tests-quality,correctness
