file	start	end	angles
src-app/ui/src/components/ui/testIds.generated.ts	2	2	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	130	130	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/ConversationListLongDemo.tsx	1	103	patterns-conformance,responsive-fidelity,correctness,plan-coverage
src-app/ui/src/dev/gallery/STATE_MATRIX.md	10	11	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	977	984	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1077	1089	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/coverage.ts	221	221	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	2	2	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	153	153	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	1199	1226	patterns-conformance,plan-coverage,tests-quality,responsive-fidelity
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	856	863	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	949	960	patterns-conformance,plan-coverage,tests-quality
src-app/ui/src/modules/chat/components/ConversationList.tsx	1	1	patterns-conformance,affordance-parity,correctness
src-app/ui/src/modules/chat/components/ConversationList.tsx	3	3	patterns-conformance,affordance-parity,correctness
src-app/ui/src/modules/chat/components/ConversationList.tsx	10	10	patterns-conformance,affordance-parity,correctness
src-app/ui/src/modules/chat/components/ConversationList.tsx	33	45	correctness,concurrency,state-management,patterns-conformance
src-app/ui/src/modules/chat/components/ConversationList.tsx	196	201	correctness,affordance-parity,patterns-conformance
src-app/ui/src/modules/chat/components/ConversationList.tsx	233	252	affordance-parity,reactive-read-in-loop,new-rendering-context,correctness
src-app/ui/src/modules/chat/components/ConversationList.tsx	254	271	affordance-parity,a11y,i18n,correctness
src-app/ui/src/modules/chat/components/VirtualizedConversationList.tsx	1	254	correctness,perf,concurrency,state-management,patterns-conformance,a11y,reactive-read-in-loop,error-handling
src-app/ui/src/modules/chat/core/utils/chatListMetrics.test.ts	1	31	tests-quality,correctness,api-contract
src-app/ui/src/modules/chat/core/utils/chatListMetrics.ts	1	42	correctness,concurrency,tests-quality
src-app/ui/src/modules/chat/core/utils/estimateConversationHeight.test.ts	1	80	tests-quality,correctness,error-handling
src-app/ui/src/modules/chat/core/utils/estimateConversationHeight.ts	1	86	correctness,perf,tests-quality
src-app/ui/src/modules/chat/core/utils/measuredHeightCache.test.ts	76	104	tests-quality,correctness,patterns-conformance
src-app/ui/tests/e2e/chat/conversation-list-virtualization.spec.ts	1	131	tests-quality,correctness,error-handling,affordance-parity
src-app/ui/tests/e2e/visual/conversation-list-virtualization.spec.ts	1	118	tests-quality,correctness,perf,error-handling
