file	start	end	angles
src-app/ui/gallery.config.json	16	21	patterns-conformance,tests-quality,maintainability
src-app/ui/src/dev/gallery/coverage.ts	240	240	patterns-conformance,maintainability,tests-quality
src-app/ui/src/dev/gallery/coverage.ts	550	550	patterns-conformance,maintainability,tests-quality
src-app/ui/src/dev/gallery/fixtures/chat-deep.ts	466	538	correctness,patterns-conformance,tests-quality,maintainability
src-app/ui/src/dev/gallery/fixtures/chat-deep.ts	543	543	correctness,patterns-conformance,maintainability
src-app/ui/src/dev/gallery/fixtures/chat-deep.ts	555	555	correctness,patterns-conformance,maintainability
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	113	158	css-correctness,correctness,regression-risk,a11y,state-management,maintainability,perf,api-friendliness
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	175	178	css-correctness,regression-risk,maintainability
src-app/ui/src/modules/chat/gallery.tsx	200	230	patterns-conformance,tests-quality,maintainability
src-app/ui/tests/e2e/visual/chat-collapse-borders.spec.ts	1	433	tests-quality,test-reality,correctness,a11y,maintainability
