file	start	end	angles
config/desired-state.yaml	1	115	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
docker-compose.external-db.yml	27	35	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
docker-compose.yml	34	42	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
docker/web/Dockerfile	172	175	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
docker/web/Dockerfile	194	195	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
docker/web/README.md	91	172	deploy,docs-accuracy,security,concurrency,plan-coverage,regressions
src-app/server/migrations/00000000000157_remove_unused_builtin_mcp_servers.sql	1	35	migration-safety,regressions,perms,security,plan-coverage
src-app/server/src/lib.rs	434	442	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/main.rs	226	239	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/desired_state/mod.rs	1	1211	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/connection_health.rs	18	18	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/connection_health.rs	296	296	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/connection_health.rs	307	321	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/repository.rs	583	599	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/repository.rs	608	616	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/repository.rs	619	620	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
src-app/server/src/modules/mcp/repository.rs	996	996	correctness,security,error-handling,perms,api-contract,patterns-conformance,concurrency,tests-quality,regressions,plan-coverage
