file	start	end	angles
config/desired-state.yaml	45	46	security,patterns-conformance,edge-cases
config/desired-state.yaml	100	129	security,patterns-conformance,edge-cases
docker-compose.deploy.yml	50	54	security,patterns-conformance,edge-cases
docker/web/README.md	119	119	security,patterns-conformance,edge-cases
docker/web/README.md	158	183	security,patterns-conformance,edge-cases
src-app/server/src/modules/desired_state/mod.rs	81	81	correctness,patterns-conformance,api-contract
src-app/server/src/modules/desired_state/mod.rs	140	142	correctness,patterns-conformance,api-contract
src-app/server/src/modules/desired_state/mod.rs	204	231	correctness,security,patterns-conformance,state-management
src-app/server/src/modules/desired_state/mod.rs	551	553	correctness,concurrency,patterns-conformance
src-app/server/src/modules/desired_state/mod.rs	898	1038	correctness,error-handling,security,concurrency,api-contract,state-management,patterns-conformance
src-app/server/src/modules/desired_state/mod.rs	1345	1496	tests-quality,correctness,edge-cases
src-app/server/src/modules/desired_state/mod.rs	1538	1538	tests-quality,correctness,edge-cases
src-app/server/src/modules/desired_state/mod.rs	1573	1597	tests-quality,correctness,edge-cases
src-app/server/tests/desired_state/mod.rs	27	50	tests-quality,correctness,edge-cases
src-app/server/tests/desired_state/mod.rs	136	139	tests-quality,correctness,edge-cases
src-app/server/tests/desired_state/mod.rs	217	220	tests-quality,edge-cases,patterns-conformance
src-app/server/tests/desired_state/mod.rs	225	225	tests-quality,edge-cases,patterns-conformance
src-app/server/tests/desired_state/mod.rs	1010	1151	tests-quality,correctness,edge-cases
src-app/server/tests/desired_state/mod.rs	1152	1183	tests-quality,correctness,edge-cases
