file	start	end	angles
docker/web/Dockerfile	174	175	security,patterns-conformance,regressions,correctness
docker/web/config.template.yaml	40	43	security,patterns-conformance,regressions,correctness
docker/web/entrypoint.sh	26	26	security,patterns-conformance,regressions,correctness
docker/web/nginx.conf	31	34	security,patterns-conformance,regressions,correctness
src-app/server/src/core/app_state.rs	100	142	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/core/app_state.rs	154	230	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/core/config.rs	480	499	correctness,security,error-handling,api-contract,patterns-conformance,regressions,i18n-copy
src-app/server/src/core/config.rs	862	885	correctness,security,error-handling,api-contract,patterns-conformance,regressions,i18n-copy
src-app/server/src/core/mod.rs	17	18	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/lib.rs	477	484	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/main.rs	193	198	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/handlers/upload.rs	17	17	correctness,security,error-handling,i18n-copy,patterns-conformance,regressions,perf
src-app/server/src/modules/file/handlers/upload.rs	71	78	correctness,security,error-handling,i18n-copy,patterns-conformance,regressions,perf
src-app/server/src/modules/file/handlers/upload.rs	81	85	correctness,security,error-handling,i18n-copy,patterns-conformance,regressions,perf
src-app/server/src/modules/file/project_extension/handlers.rs	286	307	correctness,security,error-handling,api-contract,patterns-conformance,regressions,i18n-copy
src-app/server/src/modules/file/project_extension/handlers.rs	313	313	correctness,security,error-handling,api-contract,patterns-conformance,regressions,i18n-copy
src-app/server/src/modules/file/project_extension/handlers.rs	364	382	correctness,security,error-handling,api-contract,patterns-conformance,regressions,i18n-copy
src-app/server/src/modules/file/project_extension/routes.rs	17	17	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/project_extension/routes.rs	29	30	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/project_extension/routes.rs	34	34	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/routes.rs	8	8	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/routes.rs	13	18	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/routes.rs	22	22	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/src/modules/file/utils/magic.rs	140	168	correctness,security,error-handling,concurrency,patterns-conformance,regressions,perf
src-app/server/tests/code_sandbox/harness.rs	582	582	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/code_sandbox/mirror_fixture.rs	203	203	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/common/harness_inner.rs	382	386	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/common/harness_inner.rs	530	530	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/common/harness_inner.rs	560	563	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/file/mod.rs	596	599	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/file/mod.rs	601	711	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/file/mod.rs	720	729	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/file/mod.rs	732	732	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/file/mod.rs	739	744	tests-quality,correctness,regressions,patterns-conformance
src-app/server/tests/project/files_test.rs	363	420	tests-quality,correctness,regressions,patterns-conformance
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1476	1479	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1496	1498	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1506	1506	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1658	1677	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1315	1318	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1333	1335	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1342	1342	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1483	1502	patterns-conformance,correctness,tests-quality
src-app/ui/src/modules/file/chat-extension/components/FileAttachMenuItem.tsx	5	8	correctness,state-management,i18n-copy,patterns-conformance,a11y
