file	start	end	angles
src-app/ui/src/modules/file/viewers/shared/RawCodeView.tsx	1	386	correctness,concurrency,state-management,perf,patterns-conformance,a11y,error-handling
src-app/ui/src/modules/file/viewers/shared/chunking.ts	1	133	correctness,perf,security,state-management
src-app/ui/src/modules/file/viewers/tabular/DelimitedTable.tsx	1	169	correctness,state-management,patterns-conformance,perf
src-app/ui/src/modules/file/viewers/tabular/XlsxBody.tsx	1	254	correctness,perf,error-handling,patterns-conformance
src-app/ui/src/modules/file/viewers/tabular/parse.ts	1	72	correctness,security,tests-quality
src-app/ui/src/modules/file/components/FilePanel.tsx	1	32	patterns-conformance,api-contract,correctness
src-app/ui/src/modules/file/viewers/markdown/body.tsx	1	201	patterns-conformance,api-contract,i18n/copy
src-app/ui/src/dev/gallery/TableDemos.tsx	1	162	tests-quality,patterns-conformance,correctness
src-app/ui/src/dev/gallery/seededSurfaces.tsx	1	1049	tests-quality,patterns-conformance,correctness
src-app/ui/src/dev/gallery/stateCoverage.ts	1	398	tests-quality,patterns-conformance,correctness
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1	4323	patterns-conformance,tests-quality,correctness
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1	1828	patterns-conformance,tests-quality,i18n/copy
src-app/ui/src/modules/file/viewers/shared/chunking.test.ts	1	107	tests-quality,correctness,security
src-app/ui/src/modules/file/viewers/shared/find/highlight-swap.test.ts	1	69	tests-quality,correctness,security
src-app/ui/src/modules/file/viewers/tabular/parse-cap.test.ts	1	77	tests-quality,correctness,patterns-conformance
src-app/ui/tests/e2e/file/helpers.ts	1	164	tests-quality,correctness,security
src-app/ui/tests/e2e/file/large-table-viewer.spec.ts	1	124	tests-quality,patterns-conformance,correctness
src-app/ui/tests/e2e/file/large-text-viewer.spec.ts	1	132	tests-quality,patterns-conformance,correctness
src-app/ui/tests/e2e/visual/large-viewer-gallery.spec.ts	1	55	tests-quality,patterns-conformance,a11y
