file	start	end	angles
src-app/server/migrations/00000000000158_drop_redundant_message_contents_index.sql	1	31	correctness,security,api-contract,perms/authz,plan-coverage
src-app/server/src/lib.rs	306	314	correctness,patterns-conformance,api-contract,tests-quality,plan-coverage
src-app/server/src/modules/chat/core/repository/contents.rs	44	305	correctness,patterns-conformance,api-contract,concurrency,tests-quality,test-reality,state-management,plan-coverage
src-app/server/src/modules/chat/core/services/streaming.rs	459	2804	correctness,error-handling,concurrency,state-management,security,perf,scale-performance,i18n/copy,patterns-conformance,tests-quality,test-reality,plan-coverage
src-app/server/src/modules/mcp/chat_extension/approval/repository.rs	370	386	correctness,security,perms/authz,error-handling,concurrency,patterns-conformance,api-contract,state-management,plan-coverage
src-app/server/src/modules/mcp/chat_extension/mcp.rs	331	3931	correctness,security,perms/authz,error-handling,concurrency,state-management,api-contract,perf,i18n/copy,patterns-conformance,tests-quality,test-reality,scale-performance,plan-coverage
src-app/server/src/modules/mcp/chat_extension/repository.rs	120	129	correctness,security,perms/authz,error-handling,concurrency,patterns-conformance,api-contract,state-management,plan-coverage
src-app/server/tests/chat/append_content_ordering_test.rs	131	213	tests-quality,test-reality,correctness,api-contract,plan-coverage
src-app/server/tests/chat/assistant_block_grouping_test.rs	11	307	tests-quality,test-reality,correctness,patterns-conformance,plan-coverage
src-app/server/tests/mcp/approval_claim_test.rs	1	238	tests-quality,test-reality,correctness,perms/authz,patterns-conformance,plan-coverage
src-app/server/tests/mcp/mod.rs	13	19	tests-quality,patterns-conformance,plan-coverage
