file	start	end	angles
src-app/server/src/modules/mcp/chat_extension/approval/models.rs	1	400	correctness,security,api-contract,api-friendliness,patterns-conformance,maintainability
src-app/server/src/modules/mcp/chat_extension/approval/repository.rs	1	200	correctness,security,error-handling,concurrency,api-contract,maintainability
src-app/server/src/modules/mcp/chat_extension/defaults/handlers.rs	1	120	correctness,api-contract,api-friendliness,perms-authz,security
src-app/server/src/modules/mcp/chat_extension/defaults/models.rs	1	280	correctness,security,api-contract,api-friendliness,patterns-conformance,tests-quality
src-app/server/src/modules/mcp/chat_extension/defaults/repository.rs	1	140	correctness,security,error-handling,concurrency,api-contract
src-app/server/src/modules/mcp/chat_extension/mcp.rs	580	640	correctness,perms-authz,extensibility,modularity,maintainability
src-app/server/src/modules/mcp/chat_extension/mcp.rs	2600	2680	correctness,perms-authz,security,state-management,extensibility
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3800	3960	tests-quality,correctness,maintainability,patterns-conformance
src-app/server/src/modules/mcp/chat_extension/repository.rs	1	80	correctness,api-contract,patterns-conformance,maintainability
src-app/server/src/modules/mcp/settings/repository.rs	1	400	correctness,patterns-conformance,maintainability,api-contract,security
src-app/server/tests/mcp/conversation_settings_default_test.rs	1	345	tests-quality,correctness,perms-authz,maintainability,security
src-app/server/tests/mcp/mcp_defaults_test.rs	1	400	tests-quality,correctness,perms-authz,api-contract
src-app/server/tests/mcp/mod.rs	1	40	patterns-conformance,tests-quality,maintainability
src-app/ui/scripts/gen-crawl-cassette.mjs	1	80	api-contract,patterns-conformance,maintainability,tests-quality
src-app/ui/src/api-client/types.ts	6500	6700	api-contract,api-friendliness,correctness,i18n-copy
src-app/ui/src/dev/gallery/fixtures/crawl.generated.ts	1	90	api-contract,tests-quality,patterns-conformance,maintainability
src-app/ui/src/dev/gallery/fixtures/recorded/crawl.json	2450	2470	api-contract,tests-quality,correctness,maintainability
src-app/ui/src/modules/mcp/chat-extension/extension.tsx	1020	1140	state-management,correctness,a11y,perf,maintainability
src-app/ui/src/modules/mcp/components/McpConfigModal.tsx	1	100	state-management,a11y,correctness,i18n-copy,perf
src-app/ui/src/modules/mcp/stores/McpComposer.store.ts	1	1200	state-management,correctness,api-contract,modularity,maintainability,perf
src-app/ui/src/modules/mcp/stores/approvalDefaults.ts	1	103	modularity,extensibility,api-friendliness,correctness,maintainability,perf
src-app/ui/src/modules/mcp/stores/approvalDefaults.test.ts	1	102	tests-quality,correctness,maintainability
src-app/ui/tests/e2e/chat/mcp-approval-default-persistence.spec.ts	1	299	tests-quality,correctness,i18n-copy,state-management,maintainability
