file	start	end	angles
src-app/ui/docs/AFFORDANCE_MATRIX.md	44	44	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	164	164	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	182	182	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	196	197	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	201	205	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	222	222	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	229	232	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	248	251	i18n,api-contract,patterns-conformance
src-app/ui/docs/AFFORDANCE_MATRIX.md	256	256	i18n,api-contract,patterns-conformance
src-app/ui/scripts/affordance-audit.mjs	84	90	correctness,api-contract,patterns-conformance
src-app/ui/src/components/ui/testIds.generated.ts	2	2	correctness,patterns-conformance,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	372	376	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	10	11	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	956	957	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1010	1018	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1079	1079	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/coverage.ts	225	225	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	298	298	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	300	300	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	304	317	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/fixtures/chat-deep.ts	306	316	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	2	2	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	153	153	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	838	839	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	888	895	correctness,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	949	949	correctness,patterns-conformance,tests-quality
src-app/ui/src/modules/chat/components/TextContent.tsx	8	8	correctness,patterns-conformance,security,state-management
src-app/ui/src/modules/chat/components/TextContent.tsx	40	40	correctness,patterns-conformance,security,state-management
src-app/ui/src/modules/chat/core/utils/HtmlBlock.tsx	1	103	security,correctness,state-management,a11y,patterns-conformance,error-handling
src-app/ui/src/modules/chat/core/utils/htmlBlockSandbox.ts	1	91	security,correctness,patterns-conformance,error-handling
src-app/ui/src/modules/chat/core/utils/streamdownPlugins.ts	1	21	correctness,patterns-conformance,security
src-app/ui/src/modules/chat/extensions/text/components/TextContent.tsx	8	8	correctness,patterns-conformance,security,state-management
src-app/ui/src/modules/chat/extensions/text/components/TextContent.tsx	37	37	correctness,patterns-conformance,security,state-management
src-app/ui/tests/e2e/chat/html-iframe-render.spec.ts	1	309	tests-quality,security,correctness
