file	start	end	angles
src-app/ui/src/components/common/normalizeMathDelimiters.ts	1	58	correctness,maintainability,patterns-conformance,api-friendliness,i18n-copy
src-app/ui/src/components/common/normalizeMathDelimiters.ts	55	145	correctness,perf,error-handling,maintainability,security
src-app/ui/src/components/common/normalizeMathDelimiters.ts	140	250	correctness,patterns-conformance,api-contract,maintainability,modularity
src-app/ui/src/components/common/normalizeMathDelimiters.ts	245	345	correctness,security,perf,api-contract,extensibility,state-management,error-handling
src-app/ui/src/components/common/markdownPreprocess.ts	1	120	correctness,api-friendliness,maintainability,patterns-conformance,api-contract
src-app/ui/src/components/common/normalizeMathDelimiters.test.ts	1	160	tests-quality,test-reality,correctness,maintainability
src-app/ui/src/components/common/normalizeMathDelimiters.test.ts	150	300	tests-quality,test-reality,correctness,perf,error-handling
src-app/ui/src/components/common/markdownPreprocess.test.ts	1	200	tests-quality,test-reality,correctness,modularity,maintainability
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	1	290	tests-quality,test-reality,patterns-conformance,i18n-copy
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	285	430	tests-quality,test-reality,correctness,a11y,security,precedent-fidelity
