file	start	end	angles
src-app/ui/src/components/ui/KIT_MANIFEST.md	1250	1250	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/KIT_MANIFEST.md	1256	1258	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/KIT_MANIFEST.md	1261	1262	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/KIT_MANIFEST.md	1265	1265	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/KIT_MANIFEST.md	1267	1272	patterns-conformance,tests-quality,correctness
src-app/ui/src/components/ui/kit/table-view-core.test.ts	1	151	tests-quality,correctness,patterns-conformance
src-app/ui/src/components/ui/kit/table-view-core.ts	1	228	correctness,perf,tests-quality,security
src-app/ui/src/components/ui/kit/table.tsx	2	2	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	12	17	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	29	48	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	71	101	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	107	107	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	117	247	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	251	289	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	292	318	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	319	319	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	322	327	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	330	341	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	343	343	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	345	352	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	355	368	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	375	375	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	380	380	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
src-app/ui/src/components/ui/kit/table.tsx	382	382	correctness,state-management,a11y,patterns-conformance,perf,error-handling,api-contract
