file	start	end	angles
CLAUDE.md	1368	1441	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	212	214	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	372	372	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	452	452	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	758	758	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	938	938	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1197	1197	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1591	1591	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1740	1740	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1754	1754	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1763	1763	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1774	1774	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1794	1794	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1814	1814	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1828	1828	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1862	1862	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1884	1884	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	1895	1895	api-contract,patterns-conformance,tests-quality
src-app/desktop/ui/src/dev/gallery/fixtures/recorded/crawl.json	2937	2937	api-contract,patterns-conformance,tests-quality
src-app/server/ai-providers/src/models/chat.rs	579	620	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/provider.rs	40	40	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/provider.rs	253	265	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/providers/openai.rs	15	15	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/providers/openai.rs	292	315	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/providers/openai.rs	1021	1071	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/providers/openai.rs	1358	1389	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/traits.rs	5	5	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/ai-providers/src/traits.rs	113	133	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/migrations/00000000000133_create_knowledge_bases.sql	1	61	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/migrations/00000000000134_grant_knowledge_base_permissions_to_users.sql	1	37	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/migrations/00000000000135_add_file_rag_reranker.sql	1	13	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/migrations/00000000000136_create_file_index_state.sql	1	25	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/core/repository.rs	216	216	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/handlers/management.rs	147	360	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/ingest.rs	75	88	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/image.rs	86	86	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/mod.rs	27	32	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/mod.rs	90	98	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/pdf.rs	59	123	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/pdf.rs	254	254	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/spreadsheet_image.rs	330	330	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/processing/text_image.rs	303	303	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/routes.rs	31	31	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/storage/filesystem.rs	107	142	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file/storage/mod.rs	35	51	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file_rag/handlers.rs	99	118	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file_rag/handlers.rs	177	179	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file_rag/ingest.rs	78	78	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
src-app/server/src/modules/file_rag/ingest.rs	82	87	correctness,error-handling,concurrency,security,perms/authz,api-contract,state-management,a11y,patterns-conformance,perf,tests-quality,i18n/copy
