file	start	end	angles
src-app/Cargo.lock	9488	9496	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/Cargo.toml	24	24	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/desktop/tauri/Info.plist	1	12	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/desktop/ui/plugins/vite-plugin-testid-unique.js	48	61	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/desktop/ui/plugins/vite-plugin-testid-unique.js	119	122	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/desktop/ui/tests/e2e/voice-desktop-surface.spec.ts	1	184	tests-quality,correctness,patterns-conformance
src-app/server/Cargo.toml	80	80	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/build_helper/hub_seed.rs	68	97	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/build_helper/hub_seed.rs	99	110	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/build_helper/hub_seed.rs	307	357	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/build_helper/hub_seed.rs	365	374	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/migrations/00000000000151_create_voice.sql	1	90	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/migrations/00000000000152_grant_voice_permissions_to_users.sql	1	37	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/core/config.rs	21	25	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/core/config.rs	302	326	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/core/config.rs	827	862	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/core/repository.rs	231	231	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/mod.rs	41	41	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/sync/event.rs	145	151	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/auto_start.rs	1	456	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/binary_manager.rs	1	235	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/deployment/local.rs	1	588	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/deployment/manager.rs	1	51	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/deployment/mod.rs	1	7	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/engine/download.rs	1	862	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/engine/health.rs	1	613	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/engine/mod.rs	1	17	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/handlers.rs	1	322	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/instance_handlers.rs	1	251	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/server/src/modules/voice/mod.rs	1	117	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
