file	start	end	angles
src-app/ui/src/components/common/MermaidBlock.tsx	1	205	correctness,error-handling,concurrency,state-management,security,a11y,perf,patterns-conformance,i18n/copy,perms-authz
src-app/ui/src/modules/chat/core/utils/mermaidRenderers.ts	1	15	api-contract,patterns-conformance,correctness
src-app/ui/src/modules/chat/components/TextContent.tsx	8	8	api-contract,correctness,patterns-conformance
src-app/ui/src/modules/chat/components/TextContent.tsx	40	40	api-contract,correctness,patterns-conformance
src-app/ui/src/modules/chat/extensions/text/components/TextContent.tsx	8	8	api-contract,correctness,patterns-conformance
src-app/ui/src/modules/chat/extensions/text/components/TextContent.tsx	37	37	api-contract,correctness,patterns-conformance
src-app/ui/src/dev/gallery/stories/mermaid.story.tsx	1	49	tests-quality,patterns-conformance,correctness
src-app/ui/src/dev/gallery/stories/index.ts	10	10	tests-quality,patterns-conformance,correctness
src-app/ui/src/dev/gallery/stories/index.ts	26	26	tests-quality,patterns-conformance,correctness
src-app/ui/scripts/affordance-audit-allowlist.json	3	3	tests-quality,patterns-conformance,correctness
src-app/ui/tests/e2e/visual/mermaid-toggle.spec.ts	1	129	tests-quality,correctness,patterns-conformance,a11y
src-app/ui/src/components/ui/testIds.generated.ts	2	2	patterns-conformance,correctness,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	851	858	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	956	957	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1070	1070	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	838	839	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	941	941	patterns-conformance,correctness,tests-quality
