file	start	end	angles
src-app/ui/src/components/ui/testIds.generated.ts	2	2	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/components/ui/testIds.generated.ts	517	518	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/MessageListLongDemo.tsx	1	164	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	11	11	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	69	69	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	914	914	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	922	925	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1012	1033	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1527	1542	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/seededSurfaces.tsx	1090	1105	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	802	802	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	809	812	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	891	912	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1361	1376	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	3917	3917	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/ChatMessage.tsx	194	194	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	6	12	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	18	22	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	28	38	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	43	43	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	48	48	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	49	49	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	52	71	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	100	100	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/CollapsibleBlock.tsx	131	131	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/MessageList.tsx	26	26	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/MessageList.tsx	186	190	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/MessageList.tsx	222	229	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/MessageList.tsx	237	278	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/components/MessageList.tsx	291	317	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	3	3	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	725	730	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/Chat.store.ts	2154	2154	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/MessageViewState.store.test.ts	1	62	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/MessageViewState.store.ts	1	70	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/messageViewState.helpers.test.ts	1	50	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/stores/messageViewState.helpers.ts	1	70	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.test.ts	5	5	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.test.ts	102	124	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.ts	88	138	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/core/utils/useInPlaceAnchor.ts	1	91	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/module.tsx	8	8	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/module.tsx	38	41	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/types.ts	4	4	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/chat/types.ts	22	24	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
src-app/ui/src/modules/file/chat-extension/components/InlineFilePreview.tsx	2	10	correctness,error-handling,concurrency,state-management,security,perms-authz,api-contract,a11y,patterns-conformance,tests-quality,perf,i18n
