file	start	end	angles
src-app/server/ai-providers/data/known_models.json	127	140	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/error.rs	54	54	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/error.rs	120	123	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/error.rs	125	127	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/model_registry.rs	36	37	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/model_registry.rs	171	187	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/models/chat.rs	48	49	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	506	509	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	517	593	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	654	664	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	763	786	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	788	809	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	811	812	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/ai-providers/src/providers/anthropic.rs	1369	1724	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/src/modules/chat/core/services/streaming.rs	368	372	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/src/modules/chat/core/services/streaming.rs	1082	1086	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/src/modules/chat/core/services/streaming.rs	1091	1091	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/src/modules/chat/core/services/streaming.rs	2028	2030	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/src/modules/chat/core/services/streaming.rs	2033	2033	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/tests/chat/stub_chat_tier2_test.rs	14	14	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/tests/chat/stub_chat_tier2_test.rs	194	194	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/tests/chat/stub_chat_tier2_test.rs	198	199	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/tests/chat/stub_chat_tier2_test.rs	201	202	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
src-app/server/tests/chat/stub_chat_tier2_test.rs	204	204	correctness,edge-cases,security,error-handling,concurrency,state-management,api-contract,regression,patterns-conformance,naming,tests-quality,perf
