file	start	end	angles
src-app/Cargo.lock	12816	12816	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12821	12821	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12826	12826	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12828	12829	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12837	12837	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12841	12841	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12859	12859	correctness,build-cfg,perms-authz
src-app/Cargo.lock	12865	12866	correctness,build-cfg,perms-authz
src-app/desktop/tauri/Cargo.toml	74	98	correctness,build-cfg,perms-authz
src-app/desktop/tauri/Cargo.toml	111	116	correctness,build-cfg,perms-authz
src-app/desktop/tauri/src/core/module_builder.rs	9	11	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/core/module_builder.rs	42	46	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/lib.rs	158	166	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/lib.rs	205	210	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/backend/mod.rs	254	261	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/backend/mod.rs	349	358	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/mod.rs	18	18	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/bridge/cert.rs	28	28	correctness,security,concurrency,error-handling
src-app/desktop/tauri/src/modules/office_bridge/bridge/server.rs	39	39	correctness,security,concurrency,error-handling
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	2	6	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	7	7	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	11	11	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	27	27	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	29	31	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/extension.rs	43	50	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/office_bridge.rs	13	16	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/office_bridge.rs	76	76	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/chat_extension/office_bridge.rs	97	97	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	14	15	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	18	18	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	129	129	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	334	334	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	359	359	correctness,patterns-conformance,api-contract,error-handling,build-cfg
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	491	491	correctness,patterns-conformance,api-contract,error-handling,build-cfg
