file	start	end	angles
OFFICE_TOOL_SURFACE_DESIGN.md	1	178	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
WINDOWS_PANE_VERIFICATION.md	43	59	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	11	15	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	23	23	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	219	219	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	229	229	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	23	23	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	165	165	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	177	179	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	188	188	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	194	194	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	197	204	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	226	226	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	257	257	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	274	274	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	516	516	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	518	521	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	635	638	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	640	640	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	642	644	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	646	657	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	660	664	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	666	667	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	669	692	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	716	716	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/mod.rs	246	263	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	3	15	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	30	30	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	33	33	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	43	43	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	45	45	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	47	48	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	51	51	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	62	63	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	65	65	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	73	79	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	81	81	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	84	84	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	87	88	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	91	91	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	94	96	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	98	98	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
