file	start	end	angles
WINDOWS_PANE_VERIFICATION.md	47	56	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	11	15	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	91	142	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	226	226	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	325	361	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.js	404	404	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/resources/office-bridge/taskpane.test.mjs	51	99	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/bridge/protocol.rs	6	7	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	23	23	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	208	216	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	242	249	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	252	267	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	269	278	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	313	313	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	326	326	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	615	618	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	620	620	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	622	622	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	632	633	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	636	638	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	640	640	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	642	647	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	650	651	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	654	654	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	656	656	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	659	660	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	663	663	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/handlers.rs	667	686	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/macos.rs	31	31	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/macos.rs	117	117	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/macos.rs	243	243	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/macos.rs	276	276	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/macos.rs	404	404	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	58	59	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	66	66	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	89	89	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	104	104	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	253	253	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	287	309	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	323	324	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/mod.rs	334	334	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/unsupported.rs	13	13	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/unsupported.rs	43	43	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/unsupported.rs	75	75	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/windows.rs	57	57	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/windows.rs	299	299	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/windows.rs	615	615	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/platform/windows.rs	724	724	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	3	13	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
src-app/desktop/tauri/src/modules/office_bridge/tools.rs	44	45	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,tests-quality,perf,i18n-copy
