file	start	end	angles
package-lock.json	1534	1783	security,correctness,patterns-conformance
package-lock.json	11264	11275	security,correctness,patterns-conformance
package-lock.json	14855	14855	security,correctness,patterns-conformance
package-lock.json	15003	15003	security,correctness,patterns-conformance
src-app/desktop/ui/package.json	21	21	security,correctness,patterns-conformance
src-app/server/src/modules/file/handlers/management.rs	13	13	correctness,security,perms-authz,api-contract,error-handling,patterns-conformance
src-app/server/src/modules/file/handlers/management.rs	91	146	correctness,security,perms-authz,api-contract,error-handling,patterns-conformance
src-app/server/src/modules/file/handlers/management.rs	298	315	correctness,security,perms-authz,api-contract,error-handling,patterns-conformance
src-app/server/src/modules/file/routes.rs	28	28	correctness,security,perms-authz,api-contract,error-handling,patterns-conformance
src-app/server/tests/file/mod.rs	14	14	correctness,tests-quality,security,api-contract
src-app/server/tests/file/pdf_raw_test.rs	1	121	correctness,tests-quality,security,api-contract
src-app/ui/package.json	52	52	security,correctness,patterns-conformance
src-app/ui/src/components/ui/testIds.generated.ts	2	2	patterns-conformance,correctness,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	274	291	patterns-conformance,correctness,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	293	294	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	10	11	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	19	19	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	21	21	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1584	1589	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1599	1614	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/coverage.ts	283	283	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	2	2	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/galleryCoverage.generated.ts	212	212	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/mockApi-binary.test.ts	1	25	tests-quality,correctness,patterns-conformance
src-app/ui/src/dev/gallery/mockApi-binary.ts	1	33	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/mockApi.ts	21	22	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/mockApi.ts	122	124	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/mockApi.ts	304	316	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/stateCoverage.ts	156	157	correctness,security,state-management,patterns-conformance
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1411	1416	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1426	1440	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	3710	3710	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	3812	3813	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	4131	4132	patterns-conformance,correctness,tests-quality
src-app/ui/src/modules/file/viewers/pdf/body.tsx	8	12	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/module.tsx	5	5	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/module.tsx	15	19	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/module.tsx	22	22	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/nav.test.ts	1	38	tests-quality,correctness,patterns-conformance
src-app/ui/src/modules/file/viewers/pdf/nav.ts	1	35	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/pdf-fixture.ts	1	6	correctness,patterns-conformance,security
src-app/ui/src/modules/file/viewers/pdf/pdfjs-body.tsx	1	300	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/pdfjs-dist-web.d.ts	1	13	correctness,patterns-conformance,security
src-app/ui/src/modules/file/viewers/pdf/pdfjs.ts	1	195	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/usePdfDocument.ts	1	80	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/src/modules/file/viewers/pdf/zoom.test.ts	1	32	tests-quality,correctness,patterns-conformance
src-app/ui/src/modules/file/viewers/pdf/zoom.ts	1	34	correctness,concurrency,state-management,resource-lifecycle,a11y,perf,error-handling
src-app/ui/tests/e2e/visual/pdf-viewer.spec.ts	1	115	tests-quality,correctness,a11y,patterns-conformance
