file	start	end	angles
src-app/server/ai-providers/src/provider.rs	110	111	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/ai-providers/src/provider.rs	116	116	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/migrations/00000000000132_add_openrouter_provider_type.sql	1	25	correctness,security,patterns-conformance,error-handling
src-app/server/src/modules/llm_model/handlers/models.rs	18	19	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/handlers/models.rs	156	169	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/handlers/models.rs	190	235	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/prune.rs	5	5	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/prune.rs	20	24	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/prune.rs	60	60	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/prune.rs	65	227	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/prune.rs	413	488	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/repository.rs	95	105	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/repository.rs	620	638	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_model/routes.rs	49	54	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	33	50	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	149	157	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	159	172	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	174	178	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	180	182	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	184	186	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	214	234	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	238	238	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	247	247	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	268	269	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	271	284	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	287	290	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	296	297	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/handlers/discover.rs	301	440	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/src/modules/llm_provider/utils.rs	19	19	correctness,security,error-handling,concurrency,perms-authz,api-contract,patterns-conformance,perf
src-app/server/tests/llm_model/create_deprecated_test.rs	1	92	tests-quality,correctness,patterns-conformance,api-contract
src-app/server/tests/llm_model/deprecation_sweep_test.rs	1	182	tests-quality,correctness,patterns-conformance,api-contract
src-app/server/tests/llm_model/mod.rs	3	4	tests-quality,correctness,patterns-conformance
src-app/server/tests/llm_provider/discover_models_test.rs	1	116	tests-quality,correctness,patterns-conformance,api-contract
src-app/server/tests/llm_provider/mod.rs	9	9	tests-quality,correctness,patterns-conformance
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	1	1	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	3	3	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	159	178	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	314	344	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	351	351	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	371	375	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmModelsSection.tsx	377	378	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/LlmProviderDrawer.tsx	21	21	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	1	15	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	17	18	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	25	36	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	39	39	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	42	44	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	50	53	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	56	56	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	60	99	state-management,a11y,i18n,patterns-conformance,api-contract,perf
src-app/ui/src/modules/llm-provider/components/llm-models/AddRemoteLlmModelDrawer.tsx	102	106	state-management,a11y,i18n,patterns-conformance,api-contract,perf
