file	start	end	angles
src-app/ui/src/components/common/markdownPreprocess.test.ts	38	143	tests-quality,test-coverage,correctness,regression-risk
src-app/ui/src/components/common/markdownPreprocess.ts	1	2	modularity,patterns-conformance,maintainability
src-app/ui/src/components/common/markdownPreprocess.ts	20	24	correctness,security,regression-risk,perf
src-app/ui/src/components/common/markdownPreprocess.ts	39	39	maintainability,patterns-conformance,api-friendliness
src-app/ui/src/components/common/markdownPreprocess.ts	54	60	maintainability,api-friendliness,patterns-conformance
src-app/ui/src/components/common/markdownPreprocess.ts	63	65	correctness,perf,regression-risk,error-handling
src-app/ui/src/components/common/markdownPreprocess.ts	85	91	correctness,regression-risk,perf,security,modularity
src-app/ui/src/components/common/markdownPreprocess.ts	93	103	correctness,regression-risk,perf
src-app/ui/src/components/common/markdownPreprocess.ts	105	120	correctness,regression-risk,perf,security
src-app/ui/src/components/common/markdownPreprocess.ts	123	123	correctness,regression-risk,perf
src-app/ui/src/components/common/normalizeMathDelimiters.test.ts	1	121	tests-quality,test-coverage,correctness,patterns-conformance
src-app/ui/src/components/common/normalizeMathDelimiters.ts	1	127	correctness,security,error-handling,perf,maintainability,extensibility,api-friendliness,patterns-conformance,modularity,state-management,a11y,test-coverage
src-app/ui/src/modules/chat/components/TextContent.tsx	8	8	modularity,patterns-conformance,regression-risk
src-app/ui/src/modules/chat/components/TextContent.tsx	49	52	state-management,regression-risk,perf,responsive-fidelity,a11y
src-app/ui/src/modules/skill/components/SkillDetailDrawer.tsx	22	22	modularity,patterns-conformance,regression-risk
src-app/ui/src/modules/skill/components/SkillDetailDrawer.tsx	227	227	regression-risk,state-management,responsive-fidelity,security
src-app/ui/src/modules/skill/components/SkillDetailDrawer.tsx	252	252	regression-risk,state-management,responsive-fidelity,security
src-app/ui/src/modules/workflow/components/StepOutputExpander.tsx	7	7	modularity,patterns-conformance,regression-risk
src-app/ui/src/modules/workflow/components/StepOutputExpander.tsx	94	94	regression-risk,state-management,responsive-fidelity,correctness
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	36	41	tests-quality,maintainability,plan-coverage
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	159	161	tests-quality,maintainability,plan-coverage
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	231	234	tests-quality,test-reality,plan-coverage,regression-risk
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	240	240	tests-quality,test-reality,plan-coverage
src-app/ui/tests/e2e/chat/markdown-rendering.spec.ts	242	303	tests-quality,test-reality,correctness,a11y,plan-coverage
src-app/ui/tests/e2e/skills/skill-detail-drawer.spec.ts	44	101	tests-quality,test-reality,regression-risk,plan-coverage
src-app/ui/tests/e2e/workflows/run-step-expanders.spec.ts	171	273	tests-quality,test-reality,regression-risk,plan-coverage
