file	start	end	angles
docker-compose.sandbox.yaml	1	39	security,patterns-conformance,correctness
docker/web/Dockerfile	131	138	security,patterns-conformance,correctness
docker/web/Dockerfile	143	144	security,patterns-conformance,correctness
docker/web/Dockerfile	172	172	security,patterns-conformance,correctness
docker/web/README.md	67	67	security,patterns-conformance,correctness
docker/web/README.md	172	218	security,patterns-conformance,correctness
docker/web/README.md	220	220	security,patterns-conformance,correctness
docker/web/config.template.yaml	68	73	security,patterns-conformance,correctness
docker/web/config.template.yaml	75	75	security,patterns-conformance,correctness
docker/web/entrypoint.sh	26	26	security,patterns-conformance,correctness
src-app/server/src/modules/code_sandbox/config.rs	4	5	correctness,concurrency,api-contract,security
src-app/server/src/modules/code_sandbox/config.rs	9	34	correctness,concurrency,api-contract,security
src-app/server/src/modules/code_sandbox/config.rs	37	55	correctness,concurrency,api-contract,security
src-app/server/src/modules/code_sandbox/config.rs	78	110	correctness,concurrency,api-contract,security
src-app/server/src/modules/code_sandbox/mod.rs	191	191	correctness,error-handling,concurrency
src-app/server/src/modules/code_sandbox/mod.rs	214	219	correctness,error-handling,concurrency
src-app/server/src/modules/code_sandbox/mod.rs	229	229	correctness,error-handling,concurrency
src-app/server/src/modules/code_sandbox/mod.rs	247	247	correctness,error-handling,concurrency
src-app/server/src/modules/code_sandbox/mod.rs	340	340	correctness,error-handling,concurrency
src-app/server/src/modules/code_sandbox/version_handlers.rs	227	240	correctness,error-handling,api-contract,security,perms-authz
src-app/server/src/modules/code_sandbox/version_manager.rs	23	24	correctness,error-handling,api-contract,perf
src-app/server/src/modules/code_sandbox/version_manager.rs	108	113	correctness,error-handling,api-contract,perf
src-app/server/src/modules/code_sandbox/version_manager.rs	1170	1171	correctness,error-handling,api-contract,perf
src-app/server/src/modules/code_sandbox/version_manager.rs	1175	1222	correctness,error-handling,api-contract,perf
src-app/server/src/modules/code_sandbox/version_manager.rs	1896	1927	correctness,error-handling,api-contract,perf
src-app/server/tests/code_sandbox/tier3_versions.rs	25	37	tests-quality,correctness,api-contract
src-app/server/tests/code_sandbox/tier3_versions.rs	127	132	tests-quality,correctness,api-contract
src-app/server/tests/code_sandbox/tier3_versions.rs	143	181	tests-quality,correctness,api-contract
src-app/server/tests/code_sandbox/tier3_versions.rs	183	200	tests-quality,correctness,api-contract
src-app/server/tests/code_sandbox/tier3_versions.rs	202	203	tests-quality,correctness,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	2	2	patterns-conformance,correctness,tests-quality
src-app/ui/src/components/ui/testIds.generated.ts	1070	1070	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	11	11	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1327	1328	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1345	1354	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1373	1381	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1391	1392	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	250	294	patterns-conformance,state-management,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1178	1179	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1194	1203	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1220	1228	patterns-conformance,correctness,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1237	1238	patterns-conformance,correctness,tests-quality
src-app/ui/src/modules/code-sandbox/components/AvailableRootfsCard.tsx	9	11	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/AvailableRootfsCard.tsx	20	20	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/AvailableRootfsCard.tsx	39	39	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/RootfsVersionGroup.tsx	16	18	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/RootfsVersionGroup.tsx	37	37	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/RootfsVersionGroup.tsx	100	104	state-management,patterns-conformance,a11y
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	4	4	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	19	37	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	58	58	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	64	68	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	288	303	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/SandboxRootfsVersionsSection.tsx	347	347	state-management,patterns-conformance,a11y,i18n-copy
src-app/ui/src/modules/code-sandbox/components/_rootfsShared.tsx	393	396	patterns-conformance,a11y,state-management
src-app/ui/src/modules/code-sandbox/components/_rootfsShared.tsx	407	407	patterns-conformance,a11y,state-management
src-app/ui/src/modules/code-sandbox/components/_rootfsShared.tsx	415	415	patterns-conformance,a11y,state-management
src-app/ui/src/modules/code-sandbox/components/_rootfsShared.tsx	422	424	patterns-conformance,a11y,state-management
src-app/ui/src/modules/code-sandbox/stores/SandboxRootfsVersions.store.ts	8	8	state-management,correctness,patterns-conformance
src-app/ui/src/modules/code-sandbox/stores/SandboxRootfsVersions.store.ts	79	84	state-management,correctness,patterns-conformance
src-app/ui/src/modules/code-sandbox/stores/SandboxRootfsVersions.store.ts	118	118	state-management,correctness,patterns-conformance
src-app/ui/src/modules/code-sandbox/stores/SandboxRootfsVersions.store.ts	312	312	state-management,correctness,patterns-conformance
src-app/ui/src/modules/code-sandbox/stores/SandboxRootfsVersions.store.ts	344	344	state-management,correctness,patterns-conformance
