file	start	end	angles
justfile	73	73	patterns-conformance,correctness,perf
justfile	112	119	patterns-conformance,correctness,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	222	287	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	332	338	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	350	350	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	420	424	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	426	457	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	480	493	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	577	590	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	624	637	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	1630	1675	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	2926	2949	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	2951	2989	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	2993	3003	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3005	3030	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3032	3034	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3036	3041	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3043	3049	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3051	3057	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3059	3059	correctness,concurrency,state-management,security,perms-authz,error-handling,patterns-conformance,api-contract,perf
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3476	3621	tests-quality,correctness,error-handling,patterns-conformance
src-app/server/tests/mcp/mcp_approval_loop_test.rs	1	347	tests-quality,correctness,error-handling,patterns-conformance
src-app/server/tests/mcp/mod.rs	17	17	patterns-conformance,correctness,api-contract
