file	start	end	angles
src-app/desktop/ui/package.json	58	58	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/package.json	102	104	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/scripts/gen-gallery-coverage.mjs	42	48	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/scripts/gen-state-matrix.mjs	264	265	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/GALLERY_SEED_EXCEPTIONS.md	1	14	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/GALLERY_SEED_MANIFEST.md	1	23	generated-output,patterns-conformance,correctness
src-app/desktop/ui/src/dev/gallery/fixtures/index.ts	2	5	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/fixtures/index.ts	8	8	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/fixtures/index.ts	15	15	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/module-seed.ts	1	43	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/pages.tsx	144	144	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/dev/gallery/pages.tsx	158	158	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/modules/host-mount/gallery.tsx	1	15	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/modules/remote-access/gallery.tsx	1	7	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/modules/tunnel-auth/gallery.tsx	1	7	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/src/modules/updater/gallery.tsx	1	7	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/desktop/ui/tests/e2e/gallery-desktop-seed.spec.ts	1	49	correctness,cross-workspace-build,security,patterns-conformance,api-contract
src-app/ui/package.json	126	126	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/package.json	145	148	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/check-gallery-prod-exclusion.mjs	1	66	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-gallery-coverage.mjs	44	49	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-gallery-seed-registry.mjs	1	211	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-gallery-seed-registry.test.mjs	1	105	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	34	34	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	169	176	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	178	183	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	187	201	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	208	211	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.mjs	316	316	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-overlay-registry.test.mjs	1	33	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-state-matrix.mjs	265	268	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/scripts/gen-testid-registry.mjs	39	43	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/GALLERY_SEED_EXCEPTIONS.md	1	22	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/GALLERY_SEED_MANIFEST.md	1	53	generated-output,patterns-conformance,correctness
src-app/ui/src/dev/gallery/GalleryPage.tsx	83	89	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/deepStates.tsx	2	2	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	4	8	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	15	20	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/deepStates.tsx	25	25	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/fixtures/index.ts	2	13	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/fixtures/index.ts	16	16	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/fixtures/index.ts	17	17	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/fixtures/index.ts	22	22	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/fixtures/index.ts	26	26	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlay-allowlist.json	24	24	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/overlay-registry.generated.json	7	7	generated-output,patterns-conformance,correctness
src-app/ui/src/dev/gallery/overlays.tsx	2	2	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	4	8	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	10	11	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	13	14	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/overlays.tsx	1	1	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	2	2	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	4	8	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	16	17	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/seededSurfaces.tsx	20	20	correctness,api-contract,error-handling,state-management,precedent-fidelity,tests-quality
src-app/ui/src/dev/gallery/support/hold.ts	1	46	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/support/index.test.ts	1	31	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/support/index.ts	1	17	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/support/lazy.tsx	1	51	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/support/registry-core.ts	1	62	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
src-app/ui/src/dev/gallery/support/registry.test.ts	1	69	correctness,error-handling,security,patterns-conformance,tests-quality,perf,b6-gate-survives-strip
