file	start	end	angles
src-app/desktop/ui/tests/e2e/voice-desktop-surface.spec.ts	96	97	tests-quality,correctness,patterns-conformance
src-app/desktop/ui/tests/e2e/voice-desktop-surface.spec.ts	111	112	tests-quality,correctness,patterns-conformance
src-app/desktop/ui/tests/e2e/voice-desktop-surface.spec.ts	181	203	tests-quality,correctness,patterns-conformance
src-app/server/migrations/00000000000153_add_voice_streaming_settings.sql	1	17	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	106	117	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	139	140	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	171	171	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	178	183	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	247	248	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	335	343	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/handlers.rs	349	355	correctness,error-handling,api-contract,security,perms-authz,patterns-conformance
src-app/server/src/modules/voice/mod.rs	36	36	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/models.rs	21	24	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/models.rs	47	50	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/models.rs	70	75	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/repository.rs	33	34	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/repository.rs	59	60	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/repository.rs	75	76	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/repository.rs	88	89	correctness,api-contract,security,patterns-conformance
src-app/server/src/modules/voice/repository.rs	100	101	correctness,api-contract,security,patterns-conformance
