file	start	end	angles
src-app/server/src/modules/chat/core/extension/registry.rs	151	177	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/core/extension/registry.rs	452	482	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/core/extension/registry.rs	857	987	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	142	150	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	172	173	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	177	194	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	211	214	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	227	227	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/repository/conversations.rs	246	246	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/core/services/streaming.rs	406	416	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/core/services/streaming.rs	454	463	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/core/types/conversation.rs	54	63	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	378	411	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	425	425	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	435	435	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	440	440	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	454	454	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/chat/extensions/title/title.rs	472	472	correctness,concurrency,error-handling,patterns-conformance,maintainability,api-contract
src-app/server/src/modules/mcp/chat_extension/mcp.rs	341	395	correctness,security,log-injection,error-handling,maintainability,patterns-conformance
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3727	3735	correctness,security,log-injection,error-handling,maintainability,patterns-conformance
src-app/server/src/modules/mcp/chat_extension/mcp.rs	3738	3740	correctness,security,log-injection,error-handling,maintainability,patterns-conformance
src-app/server/src/modules/mcp/chat_extension/mcp.rs	4638	4639	correctness,security,log-injection,error-handling,maintainability,patterns-conformance
src-app/server/src/modules/mcp/chat_extension/mcp.rs	4697	4753	correctness,security,log-injection,error-handling,maintainability,patterns-conformance
src-app/server/src/modules/project/chat_extension/repository.rs	63	78	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/project/chat_extension/repository.rs	86	86	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/src/modules/project/chat_extension/repository.rs	110	110	correctness,sql-correctness,security,perms-authz,scale-performance,api-contract
src-app/server/tests/bio_mcp/mod.rs	465	473	test-reality,correctness,patterns-conformance,maintainability
src-app/server/tests/chat/conversations_test.rs	838	987	test-reality,correctness,patterns-conformance,maintainability
src-app/server/tests/chat/mod.rs	48	48	test-reality,correctness,patterns-conformance,maintainability
src-app/server/tests/chat/stub_chat_tier2_test.rs	5	5	test-reality,correctness,patterns-conformance,maintainability
src-app/server/tests/chat/title_approval_test.rs	1	331	test-reality,correctness,patterns-conformance,maintainability
src-app/server/tests/file/provider_routing_integration_test.rs	134	134	test-reality,correctness,patterns-conformance,maintainability
src-app/ui/src/modules/chat/components/ConversationCard.tsx	14	14	correctness,state-management,patterns-conformance,a11y,maintainability,scale-performance
src-app/ui/src/modules/chat/components/ConversationCard.tsx	116	116	correctness,state-management,patterns-conformance,a11y,maintainability,scale-performance
src-app/ui/src/modules/chat/components/ConversationCard.tsx	148	148	correctness,state-management,patterns-conformance,a11y,maintainability,scale-performance
