file	start	end	angles
src-app/ui/scripts/node-test-hooks.mjs	12	13	correctness,maintainability,patterns-conformance,scope-drift
src-app/ui/scripts/node-test-hooks.mjs	18	18	correctness,maintainability,modularity,scope-drift
src-app/ui/scripts/node-test-hooks.mjs	2	2	correctness,maintainability,scope-drift,regression-risk
src-app/ui/scripts/node-test-hooks.mjs	22	53	correctness,error-handling,scope-drift,regression-risk,maintainability
src-app/ui/src/components/common/SidebarSectionTitle.tsx	1	54	modularity,extensibility,precedent-fidelity,a11y,maintainability,patterns-conformance,design-in-context,correctness
src-app/ui/src/modules/chat/components/ChatInput.tsx	135	151	correctness,responsive-fidelity,design-in-context,regression-risk,new-rendering-context,error-handling
src-app/ui/src/modules/chat/components/ChatInput.tsx	155	155	correctness,responsive-fidelity,regression-risk,new-rendering-context
src-app/ui/src/modules/chat/components/ChatInput.tsx	81	102	correctness,responsive-fidelity,design-in-context,regression-risk,new-rendering-context,maintainability
src-app/ui/src/modules/chat/core/stores/SplitView.store.test.ts	203	243	tests-quality,correctness,state-management,patterns-conformance
src-app/ui/src/modules/chat/gallery.tsx	222	266	tests-quality,maintainability,patterns-conformance,concurrency-lifecycle,scope-drift
src-app/ui/src/modules/chat/gallery.tsx	44	94	tests-quality,maintainability,modularity,patterns-conformance,concurrency-lifecycle
src-app/ui/src/modules/chat/pages/NewChatPage.tsx	16	36	correctness,state-management,regression-risk,new-rendering-context,concurrency-lifecycle,error-handling
src-app/ui/src/modules/chat/widgets/RecentConversationsWidget.tsx	137	140	precedent-fidelity,a11y,design-in-context,modularity,maintainability
src-app/ui/src/modules/chat/widgets/RecentConversationsWidget.tsx	142	142	precedent-fidelity,regression-risk,design-in-context
src-app/ui/src/modules/chat/widgets/RecentConversationsWidget.tsx	144	144	precedent-fidelity,regression-risk,design-in-context
src-app/ui/src/modules/chat/widgets/RecentConversationsWidget.tsx	22	22	modularity,patterns-conformance,regression-risk
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	204	211	precedent-fidelity,a11y,design-in-context,regression-risk,extensibility,responsive-fidelity
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	214	216	correctness,a11y,regression-risk,patterns-conformance,extensibility
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	223	223	correctness,regression-risk,patterns-conformance
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	249	251	correctness,a11y,regression-risk,patterns-conformance,extensibility
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	258	258	correctness,regression-risk,patterns-conformance
src-app/ui/src/modules/layouts/app-layout/components/LeftSidebar.tsx	8	8	modularity,patterns-conformance,regression-risk
src-app/ui/src/modules/projects/pages/ProjectDetailPage.tsx	204	218	new-rendering-context,regression-risk,correctness,state-management,patterns-conformance,concurrency-lifecycle
src-app/ui/src/modules/user-llm-providers/chat-extension/components/ModelSelector.tsx	119	119	error-handling,responsive-fidelity,regression-risk,maintainability
src-app/ui/src/modules/user-llm-providers/chat-extension/components/ModelSelector.tsx	127	138	error-handling,responsive-fidelity,regression-risk,correctness,maintainability
src-app/ui/src/modules/user-llm-providers/chat-extension/components/ModelSelector.tsx	148	148	correctness,responsive-fidelity,design-in-context,regression-risk
src-app/ui/src/modules/user-llm-providers/chat-extension/components/ModelSelector.tsx	159	192	correctness,responsive-fidelity,a11y,precedent-fidelity,maintainability,new-rendering-context,modularity
src-app/ui/tests/e2e/14-split-chat/new-chat-collapses-split.spec.ts	1	113	tests-quality,correctness,patterns-conformance,regression-risk
src-app/ui/tests/e2e/layouts/sidebar-title-alignment.spec.ts	1	207	tests-quality,correctness,patterns-conformance,a11y
src-app/ui/tests/e2e/visual/composer-model-selector.spec.ts	1	347	tests-quality,correctness,responsive-fidelity,patterns-conformance,maintainability
