file	start	end	angles
src-app/ui/src/components/ui/testIds.generated.ts	2	2	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	271	277	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	300	303	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	305	305	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	307	309	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	311	311	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	314	316	correctness,patterns-conformance,api-contract
src-app/ui/src/components/ui/testIds.generated.ts	466	466	correctness,patterns-conformance,api-contract
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	3	3	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	9	14	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	20	25	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	31	44	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	49	49	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	52	60	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	63	66	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	69	83	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	87	147	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	149	149	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	151	166	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	170	174	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	178	214	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	218	236	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	240	240	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	244	245	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	249	250	correctness,error-handling,concurrency,state-management,security,perms/authz,api-contract,patterns-conformance,a11y,perf,i18n/copy
