file	start	end	angles
src-app/ui/src/dev/gallery/STATE_MATRIX.md	11	11	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	943	952	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1004	1012	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/STATE_MATRIX.md	1215	1232	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	828	837	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	884	892	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	1074	1091	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/ConversationFindBar.tsx	14	16	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/ConversationFindBar.tsx	38	38	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/ConversationFindBar.tsx	74	75	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/ConversationFindBar.tsx	77	77	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/ConversationFindBar.tsx	80	80	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	1	2	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	9	42	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	45	50	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	52	57	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	59	61	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	63	128	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	129	129	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	131	139	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	141	145	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	147	166	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	167	167	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/components/MessageList.tsx	169	226	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/stores/messageWindow.test.ts	6	6	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/stores/messageWindow.test.ts	94	103	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/stores/messageWindow.ts	88	104	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.test.ts	4	4	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.test.ts	61	71	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/core/utils/scrollAnchor.utils.ts	55	69	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	7	11	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	24	24	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	72	75	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	77	77	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	79	79	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	250	251	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	253	255	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	299	301	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	309	310	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	324	325	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	327	327	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	430	432	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/src/modules/chat/pages/ConversationPage.tsx	483	487	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/tests/e2e/chat/lazy-load-branch-reset.spec.ts	161	163	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
src-app/ui/tests/e2e/chat/lazy-load-branch-reset.spec.ts	166	181	correctness,error-handling,concurrency,security,perms-authz,api-contract,state-management,patterns-conformance,perf,a11y,tests-quality,i18n-copy
