file	start	end	angles
src-app/server/migrations/00000000000155_create_voice_models.sql	1	48	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/core/repository.rs	232	232	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/main.rs	463	472	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/sync/event.rs	152	155	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/auto_start.rs	59	582	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/handlers.rs	40	407	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/instance_handlers.rs	48	262	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/mod.rs	30	42	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/model.rs	50	677	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/model_catalog.rs	1	290	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/model_download_task.rs	1	387	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/model_handlers.rs	1	612	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/models.rs	28	200	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/reaper.rs	176	179	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/repository.rs	36	249	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/routes.rs	11	112	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/runtime_version/handlers.rs	217	261	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
src-app/server/src/modules/voice/runtime_version/mod.rs	14	56	correctness,error-handling,concurrency,resource-leak,security,perms-authz,api-contract,state-management,patterns-conformance,perf,plan-coverage
